ID,Name,Type,Serving,Serving Size,Headline,Intensity,Sleeve Price,Per Capsule Price,Caption,Taste,Best Served As,Notes,Acidity,Bitterness,Roastness,Body,Milky Taste,Bitterness with Milk,Roastiness with Milk,Creamy Texture,Ingredients & Allergens,Number of Capsules per Sleeve,Net Weight per Total Number of Capsules,Capsule Image Link,Capsule & Sleeve Image Link,Decaf Coffee?,Category,Other Information,Status,Textual Info
VL11,Odacio,Vertuo,Coffee,230ml,Bold & Lively,7.0,12.6,1.26,Why we love it: Odacio’s a lively and intense Vertuo coffee.,The Nicaraguan Arabica gives Odacio its soft and solid cereal note. We daringly blended in a touch of Ethiopian Arabica - it adds a splash of acidity and delicate fruitiness. We split roast the coffees in this Vertuo coffee pod. A long and light roast for both coffees develops the body and structure and keeps the acidity and aromatics intact. Odacio brings a fullbodied cereal note and then dares to surprise you with its flourish of fruitiness and delicate acidity at the end. It’s bold and it’s lively and it hits your palate with great elegance.,Coffee 230ml,Intense,2.0,4.0,4.0,4.0,,,,,Roast and ground coffee,10,100 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446334378014/odacio-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/odacio_L.png,No,Signature Coffee,,Current,coffee bold lively love odacio lively intense vertuo coffee nicaraguan arabica gives odacio soft solid cereal note daringly blended touch ethiopian arabica adds splash acidity delicate fruitiness split roast coffees vertuo coffee pod long light roast coffees develops body structure keeps acidity aromatics intact odacio brings fullbodied cereal note dares surprise flourish fruitiness delicate acidity end bold lively hits palate great elegance coffee 230ml intense signature coffee
VL12,Costa Rica,Vertuo,Gran Lungo,150ml,Malty & Cereal Notes,7.0,12.1,1.21,"High in Costa Rica’s mountains, only a small selection of Arabica coffee beans is soaked in rainforest hot spring waters. Costa Rica contains this scarce coffee whose rare process highlights the malty sweet cereal character of this craftsman’s coffee.",The one-of-a-kind process of fermentation in hot-spring waters brings about a remarkably balanced and clean taste in the cup. Master Origins Costa Rica is full-bodied but mellow. A malty sweet cereal note runs through it with crystal clarity.,Gran Lungo 150ml,Malty,3.0,1.0,4.0,3.0,,,,,Roast and ground coffee,10,105 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446316486686/costa-rica-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/ecom/medias/sys_master/public/13680260349982/C-0631-Responsive-PDPMain-6272x2432-UPDATED.jpg?impolicy=productPdpSafeZone&imwidth=1238,No,Master Origins,,Current,gran lungo malty cereal notes high costa rica mountains small selection arabica coffee beans soaked rainforest hot spring waters costa rica contains scarce coffee whose rare process highlights malty sweet cereal character craftsman coffee oneofakind process fermentation hotspring waters brings remarkably balanced clean taste cup master origins costa rica fullbodied mellow malty sweet cereal note runs crystal clarity gran lungo 150ml malty master origins
VL13,Mexico,Vertuo,Coffee,230ml,Itensed & Spiced,7.0,13.7,1.37,You’ll do a double take with Master Origins Mexico with double washed Robusta -because selective hand-picking and thoroughly washing was once only for Arabica.,"We blend Mexican Arabica with a rare Double Washed Robusta - the producers treat their Robusta with the same care as the Arabica. It yields a wild, textured cup full of roasted and spiced notes. Try Master Origins Mexico with double washed Robusta as a coffee with milk and that distinct spicy note remains. Try it as a cappuccino and you’ll taste a hint of fine woody notes dancing this Mexican coffee with milk.",Coffee 230ml,"Spicy, Woody",3.0,1.0,4.0,2.0,,,,,Roast and ground coffee,10,125 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446443692062/mexico-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/ecom/medias/sys_master/public/13252940070942/C-0368-Main-PDP-MasterOrigin-Mexico-VL.jpg?impolicy=productPdpSafeZone&imwidth=1238,No,Master Origins,,Current,coffee itensed spiced double take master origins mexico double washed robusta because selective handpicking thoroughly washing arabica blend mexican arabica rare double washed robusta producers treat robusta care arabica yields wild textured cup full roasted spiced notes try master origins mexico double washed robusta coffee milk distinct spicy note remains try cappuccino taste hint fine woody notes dancing mexican coffee milk coffee 230ml spicy woody master origins
VL14,Peru Organic,Vertuo,Espresso,40ml,Fruity & Elegant,6.0,10.8,1.08,Why we love it: We traveled across remote Peruvian regions in search of the finest organic certified Arabica coffee beans.,"High up above 1000 meters – even up to 2100 meters – and, tucked into the slopes of the Andes, we found them. The organic processes passed down from generation to generation, this coffee is blessed with the meticulous care of smallholder farmers. Peru Organic is split roast to reveal both the bright, juicy acidity and the elegant fruity notes accented by a smooth toasted cereal note.",Espresso 40ml,Fruity,4.0,3.0,3.0,3.0,,,,,Roast and ground coffee. Packaged in a protective atmosphere.,10,72 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446106738718/peru-organic-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/ecom/medias/sys_master/public/15890209308702/Untitled-7.png,No,Master Origins,,Current,espresso fruity elegant love traveled across remote peruvian regions search fine organic certified arabica coffee beans high 1000 meters even 2100 meters tucked slopes andes found organic processes passed generation generation coffee blessed meticulous care smallholder farmers peru organic split roast reveal bright juicy acidity elegant fruity notes accented smooth toasted cereal note espresso 40ml fruity master origins
VL15,Colombia - Fairtrade,Vertuo,Coffee,230ml,Red Fruit Notes,5.0,13.7,1.37,"Why we love it: The cooler climate of the high-altitude Colombia Aguadas mountains means the coffee takes longer to ferment. The classic washed coffee processing method is complex and time-consuming, but up here it calls for even more skill.","Master Origin Colombia washed Arabica showcases how these Aguadas farmers achieved this beloved Colombian coffee taste by tweaking the classic washed process. They pick only the ripe fruit and attentively execute longer fermentation. The reward is a particularly fruity, sweet cup with a juicy acidity. You may pick up hints of candied apples and red berries in this washed Colombian coffee.",Coffee 230ml,Fruity,1.0,5.0,1.0,1.0,,,,,Decaffeinated Roast and ground coffee. Packaged in a protective atmosphere.,10,125 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446444412958/colombia-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/colombia_L.png,No,Master Origins,,Current,coffee red fruit notes love cool climate highaltitude colombia aguadas mountains means coffee takes long ferment classic washed coffee processing method complex timeconsuming calls even skill master origin colombia washed arabica showcases aguadas farmers achieved beloved colombian coffee taste tweaking classic washed process pick ripe fruit attentively execute long fermentation reward particularly fruity sweet cup juicy acidity may pick hints candied apples red berries washed colombian coffee coffee 230ml fruity master origins
VL16,Ethiopia,Vertuo,Gran Lungo,150ml,Floral & Delicate,4.0,12.1,1.21,Ethiopia with dry processed Arabica involves sun-drying some of the coffee cherry. This continual hand-turning to ensure even drying calls for great care. And Ethiopian farmers have used this method for longer than anyone else.,"Ethiopia is a naturally flowery coffee that gains fruitiness and complexity from its signature drying method, revealing ripe blueberry notes and a hint of musk.",Gran Lungo 150ml,Floral,1.0,3.0,2.0,1.0,,,,,Roast and ground coffee. Packaged in a protective atmosphere.,10,95 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446318485534/ethiopia-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/ethiopia_L.png,No,Master Origins,,Current,gran lungo floral delicate ethiopia dry processed arabica involves sundrying coffee cherry continual handturning ensure even drying calls great care ethiopian farmers used method long anyone else ethiopia naturally flowery coffee gains fruitiness complexity signature drying method revealing ripe blueberry notes hint musk gran lungo 150ml floral master origins
VL17,Il Caffè,Vertuo,Espresso,40ml,Exceptionally Intense & Velvety,11.0,9.9,0.99,"Il Caffè takes you right to the heart of the classic Italian coffee experience. We land that punchy combination of smooth, velvety taste and roasty, cereal aromas by blending two powerful-tasting Vietnamese and Indonesian Washed Robustas with a little Colombian Arabica.","We split roast the coffees to give the Robustas a darker roast. A lighter but slightly longer roast of the Colombian Arabica beans keeps the acidity intact and develops a hint of a nutty note. Il Caffè goes down like a dream, its classic aroma promises to delight, and its familiar flavour is one to remember. We crafted Il Caffè to be your traditional black coffee experience, but if you want to soften this one’s intensity, why not add milk to make a Cappuccino?",Espresso 40ml,"Cereal, Woody, Cocoa",0.0,0.0,0.0,1.0,,,,,Roast and ground coffee,10,70 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446323925022/il-caffe-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/ecom/medias/sys_master/public/15890224742430/Untitled-10.png,No,Espresso,,Current,espresso exceptionally intense velvety il caffè takes right heart classic italian coffee experience land punchy combination smooth velvety taste roasty cereal aromas blending two powerfultasting vietnamese indonesian washed robustas little colombian arabica split roast coffees give robustas dark roast light slightly long roast colombian arabica beans keeps acidity intact develops hint nutty note il caffè goes like dream classic aroma promises delight familiar flavour one remember crafted il caffè traditional black coffee experience want soften one intensity add milk make cappuccino espresso 40ml cereal woody cocoa espresso
VL18,Diavolitto,Vertuo,Espresso,40ml,Highly Intense & Powerful,11.0,9.9,0.99,"Why we love it: This short devil of a coffee capsule is an intense, powerful espresso.","No harshness in Diavolitto - just fine oak wood and leather notes and a smooth, creamy texture. We use Arabicas and Robustas in this Vertuo coffee capsule - both washed and naturally processed. Latin American Robustas give this Vertuo coffee thick crema and a powerful flavour. Latin American Arabicas add some subtler aromas. And we found an uncommon Guatemalan Robusta to blend in for a smooth and creamy texture. This Vertuo espresso is a highly roasted Arabica and Robusta coffee blend. We split roast so that each coffee’s origin characteristics stay at play in this short devil.",Espresso 40ml,Intense,1.0,4.0,4.0,4.0,,,,,Roast and ground coffee. Packaged in a protective atmosphere.,10,70 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446103330846/diavolitto-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/diavolitto_L.png,No,Espresso,,Current,espresso highly intense powerful love short devil coffee capsule intense powerful espresso harshness diavolitto fine oak wood leather notes smooth creamy texture use arabicas robustas vertuo coffee capsule washed naturally processed latin american robustas give vertuo coffee thick crema powerful flavour latin american arabicas add subtle aromas found uncommon guatemalan robusta blend smooth creamy texture vertuo espresso highly roasted arabica robusta coffee blend split roast coffee origin characteristics stay play short devil espresso 40ml intense espresso
VL19,Double Espresso Scuro,Vertuo,Double Espresso,80ml,Dark & Bold,11.0,11.0,1.1,Why we love it: Double Espresso Scuro is a highly roasted blend of Robusta and Arabica - all Central American coffees. The Robusta is from Guatemala and the Arabica is Costa Rican. And it’s the Robusta in this Nespresso Vertuoline double shot that helps it pack a double enjoyment.,"This double espresso coffee is roasted in two splits - we keep the Robusta and Arabica separate but give them both a full roast - it develops an intense cocoa note and gives Double Espresso Scuro its dark smoky character. It’s intense and it’s fullbodied, but this double enjoyment also has a subtle note of vanilla that adds complexity to its power.",Double Espresso 80ml,Intense,1.0,3.0,3.0,3.0,,,,,Roast and ground coffee,10,100 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446108147742/double-espresso-scuro-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/double-espresso-scuro_XL.png,No,Double Espresso,,Current,double espresso dark bold love double espresso scuro highly roasted blend robusta arabica central american coffees robusta guatemala arabica costa rican robusta nespresso vertuoline double shot helps pack double enjoyment double espresso coffee roasted two splits keep robusta arabica separate give full roast develops intense cocoa note gives double espresso scuro dark smoky character intense fullbodied double enjoyment also subtle note vanilla adds complexity power double espresso 80ml intense double espresso
VL20,Altissio Decaffeinato,Vertuo,Espresso,40ml,Full-Bodied & Creamy,9.0,9.9,0.99,"When Altissio Decaffeinato walks in, you'll notice.","The full-bodied, bold espresso taste comes from blending South American Arabicas with Robusta. A Costa Rican Arabica adds its soft cereal note. All decaffeinated, the taste of the highly roasted Altissio Decaffeinato is true to the original – still cloaked in creamy royal robes.",Espresso 40ml,Cocoa,3.0,1.0,3.0,3.0,,,,,Decaffeinated Roast and ground coffee. Packaged in a protective atmosphere.,10,70 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446707310622/altissio-decaffeinato-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/altissio-decaffeinato_L.png,Yes,Espresso,,Current,espresso fullbodied creamy altissio decaffeinato walks ll notice fullbodied bold espresso taste comes blending south american arabicas robusta costa rican arabica adds soft cereal note decaffeinated taste highly roasted altissio decaffeinato true original still cloaked creamy royal robes espresso 40ml cocoa espresso
VL21,Altissio,Vertuo,Espresso,40ml,Full-Bodied & Creamy,9.0,9.9,0.99,"Why we love it: When Altissio walks in, you’ll notice.","The South American Arabicas and a touch of Brazilian Robusta give it that full-bodied, bold espresso taste. We balanced these coffees out with a Costa Rican Arabica that adds its soft cereal note. These Arabica and Robusta coffees get an intense and short roast to bring out that full-bodied character. In royal robes, Altissio is a Vertuo espresso coffee cloaked in a thick, velvety crema - full of roasty notes and a soft and creamy cereal note.",Espresso 40ml,Intense,1.0,3.0,1.0,4.0,,,,,Roast and ground coffee,10,70 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446104018974/altissio-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/altissio_L.png,No,Espresso,,Current,espresso fullbodied creamy love altissio walks notice south american arabicas touch brazilian robusta give fullbodied bold espresso taste balanced coffees costa rican arabica adds soft cereal note arabica robusta coffees get intense short roast bring fullbodied character royal robes altissio vertuo espresso coffee cloaked thick velvety crema full roasty notes soft creamy cereal note espresso 40ml intense espresso
VL22,Double Espresso Chiaro,Vertuo,Double Espresso,80ml,Dense & Wild,8.0,11.0,1.1,Why we love it: Double Espresso Chiaro is a blend of Latin American Arabica coffees. This double espresso has both washed and dry processed Arabicas in it.,"The two coffee processes give distinctly different aromatic profiles and so we split roast the two kinds to bring out the best in each. Intense and short roasts of both coffees bring power without hiding the coffees’ woody, earthy aromas. This Nespresso Vertuoline double shot’s the last course - go ahead and finish off your meal with a bang.",Double Espresso 80ml,Woody,1.0,3.0,3.0,2.0,,,,,Roast and ground coffee,10,100 g,https://www.nespresso.com/ecom/medias/sys_master/public/14446107885598/double-espresso-chiaro-XL.png?impolicy=product&imwidth=150,https://www.nespresso.com/shared_res/agility/n-components/pdp/sku-main-info/coffee-sleeves/vl/double-espresso-chiaro_L.png,No,Double Espresso,,Current,double espresso dense wild love double espresso chiaro blend latin american arabica coffees double espresso washed dry processed arabicas two coffee processes give distinctly different aromatic profiles split roast two kinds bring best intense short roasts coffees bring power without hiding coffees woody earthy aromas nespresso vertuoline double shot last course go ahead finish meal bang double espresso 80ml woody double espresso
